title,category
Category:Administrative software,Business_Software
Category:Business simulation games,Business_Software
Category:Business software companies,Business_Software
Category:Business software for Linux,Business_Software
Category:Business software for MacOS,Business_Software
Category:Business software for Windows,Business_Software
Category:Collaborative software,Business_Software
Category:Dental practice management software,Business_Software
Category:Enterprise software,Business_Software
Category:ERP software,Business_Software
Category:Financial software,Business_Software
Category:Free business software,Business_Software
Category:Health software,Business_Software
Category:Healthcare software,Business_Software
Category:Human resource management software,Business_Software
Category:Java enterprise platform,Business_Software
Category:Manufacturing software,Business_Software
Category:Marketing software,Business_Software
Category:MES software,Business_Software
Category:Mobile business software,Business_Software
Category:Office software,Business_Software
Category:Portal software,Business_Software
Category:Project management software,Business_Software
Category:Publishing software,Business_Software
Category:Reporting software,Business_Software
Category:Risk management software,Business_Software
Category:Service-oriented architecture-related products,Business_Software
Category:Tax software,Business_Software
Category:Telecommunications Billing Systems,Business_Software
Category:Workflow technology,Business_Software
Category:Industry-specific XML-based standards,Business_Software
Category:Business software stubs,Business_Software
Category:School-administration software,Business_Software
Category:Time-tracking software,Business_Software
Category:Amusement park simulation games,Business_Software
Category:M.U.L.E.,Business_Software
Category:Roller coaster games and simulations,Business_Software
Category:Sports management video games,Business_Software
Category:Trade simulation games,Business_Software
Category:Transport Tycoon,Business_Software
Category:Zoo Tycoon,Business_Software
Category:Financial software companies,Business_Software
Category:Accounting software for Linux,Business_Software
Category:Enterprise resource planning software for Linux,Business_Software
Category:Healthcare software for Linux,Business_Software
Category:Office suites for Linux,Business_Software
Category:CRM-software for MacOS,Business_Software
Category:Healthcare software for MacOS,Business_Software
Category:Healthcare software for Windows,Business_Software
Category:Collaborative software for Linux,Business_Software
Category:Groupware,Business_Software
Category:Free groupware,Business_Software
Category:Collaborative real-time editors,Business_Software
Category:Wiki software,Business_Software
Category:Free ERP software,Business_Software
Category:Enterprise application integration,Business_Software
Category:ERP software companies,Business_Software
Category:Microsoft Dynamics,Business_Software
Category:Supply chain software companies,Business_Software
Category:Enterprise resource planning terminology,Business_Software
Category:Accounting software,Business_Software
Category:Computer-aided audit tools,Business_Software
Category:Cost analysis software,Business_Software
Category:Financial markets software,Business_Software
Category:Free finance software,Business_Software
Category:Investment club software,Business_Software
Category:Microfinance software,Business_Software
Category:Free accounting software,Business_Software
Category:Free customer relationship management software,Business_Software
Category:Free e-commerce software,Business_Software
Category:Free content management systems,Business_Software
Category:Free static website generators,Business_Software
Category:Free office software,Business_Software
Category:Free project management software,Business_Software
Category:Free reporting software,Business_Software
Category:Behavioral experimentation software,Business_Software
Category:Disability software,Business_Software
Category:Health video games,Business_Software
Category:Healthcare software,Business_Software
Category:Public health and biosurveillance software,Business_Software
Category:Repetitive strain injury software,Business_Software
Category:Dental software,Business_Software
Category:DICOM software,Business_Software
Category:Electronic health record software,Business_Software
Category:Electronic health records,Business_Software
Category:Free healthcare software,Business_Software
Category:Medical software,Business_Software
Category:MUMPS programming language family,Business_Software
Category:Automatic Data Processing,Business_Software
Category:Free human resource management software,Business_Software
Category:JavaServer Faces,Business_Software
Category:Customer relationship management software,Business_Software
Category:Mobile sales enablement systems,Business_Software
Category:Search engine software,Business_Software
Category:Content management systems,Business_Software
Category:Email clients,Business_Software
Category:Office document file formats,Business_Software
Category:Office suites,Business_Software
Category:Presentation software,Business_Software
Category:Spreadsheet software,Business_Software
Category:Typing software,Business_Software
Category:Word processors,Business_Software
Category:GitHub,Business_Software
Category:Mind-mapping software,Business_Software
Category:Project hosting websites,Business_Software
Category:Task management software,Business_Software
Category:Desktop publishing software,Business_Software
Category:Workflow software,Business_Software
Category:Word processor stubs,Business_Software
Category:Association football management video games,Business_Software
Category:Sports management MMORPGs,Business_Software
Category:Sports Mogul,Business_Software
Category:Space trading and combat simulators,Business_Software
Category:Banking software companies,Business_Software
Category:Calligra Suite,Business_Software
Category:LibreOffice,Business_Software
Category:OpenOffice,Business_Software
